Rank,Name,Age Group ,Age,Source,Industry,Gender,Continent,Country,Headquarters,State,Net Worth,Title
1,Jeff Bezos,41-60,54,Amazon,Technology,Male,North America,United States,WA,Washington,112,"CEO and Founder, Amazon.com"
2,Bill Gates,61-80,62,Microsoft,Technology,Male,North America,United States,WA,Washington,90,"Cofounder, Bill & Melinda Gates Foundation"
3,Warren Buffett,81-100,87,Berkshire Hathaway,Finance and Investments,Male,North America,United States,NE,Nebraska,84,"CEO, Berkshire Hathaway"
4,Bernard Arnault,61-80,69,LVMH,Fashion & Retail,Male,Europe,France,,,72,"Chairman and CEO, LVMH Moet Hennessy Louis Vuitton"
5,Mark Zuckerberg,20-40,33,Facebook,Technology,Male,North America,United States,CA,California,71,"Cofounder, Chairman and CEO, Facebook"
6,Amancio Ortega,81-100,81,Zara,Fashion & Retail,Male,Europe,Spain,,,70,
7,Carlos Slim Helu,61-80,78,telecom,Telecom,Male,North America,Mexico,,,67.1,"Honorary Chairman, América Móvil"
8,Charles Koch,81-100,82,Koch Industries,Diversified,Male,North America,United States,KS,Kansas,60,"CEO, Koch Industries"
8,David Koch,61-80,77,Koch Industries,Diversified,Male,North America,United States,NY,New York,60,"Executive Vice President, Koch Industries"
10,Larry Ellison,61-80,73,software,Technology,Male,North America,United States,CA,California,58.5,"CTO and Founder, Oracle"
11,Michael Bloomberg,61-80,76,Bloomberg LP,Media & Entertainment,Male,North America,United States,NY,New York,50,"CEO, Bloomberg"
12,Larry Page,41-60,44,Google,Technology,Male,North America,United States,CA,California,48.8,"CEO, Alphabet"
13,Sergey Brin,41-60,44,Google,Technology,Male,North America,United States,CA,California,47.5,"President, Google"
14,Jim Walton,61-80,69,Walmart,Fashion & Retail,Male,North America,United States,AR,Arkansas,46.4,"Chairman and CEO, Arvest Bank Group, Inc."
15,S. Robson Walton,61-80,73,Walmart,Fashion & Retail,Male,North America,United States,AR,Arkansas,46.2,"Director, Wal-Mart Stores"
16,Alice Walton,61-80,68,Walmart,Fashion & Retail,Female,North America,United States,TX,Texas,46,"Chairman, Crystal Bridges Museum of American Art"
17,Ma Huateng,41-60,46,internet media,Technology,Male,Asia,China,,,45.3,"Chairman and CEO, Tencent Holdings"
18,Francoise Bettencourt Meyers,61-80,64,L'Oreal,Fashion & Retail,Female,Europe,France,,,42.2,
19,Mukesh Ambani,41-60,60,"petrochemicals, oil & gas",Energy,Male,Asia,India,,,40.1,"Founder and Chairman, Reliance Industries"
20,Jack Ma,41-60,53,e-commerce,Technology,Male,Asia,China,,,39,"Founder and Executive Chairman, Alibaba Group"
21,Sheldon Adelson,81-100,84,casinos,Gambling & Casinos,Male,North America,United States,NV,Nevada,38.5,"Chairman and CEO, Las Vegas Sands"
22,Steve Ballmer,61-80,61,Microsoft,Technology,Male,North America,United States,WA,Washington,38.4,"Owner, Los Angeles Clippers"
